"Cruise","Date","Habitat","Region","Depth","Station","Deployment","Tube","Sample","Incubator","a","b","P","DO_flux","Temperature","In_situ_temperature","In_situ_DO_flux"
"NOR1_T004",2020-11-13,"Canyon","Gaoping",301,"GC1","1","10","SW",,143.292045447394,-1.67950647784972,0.164679062144562,-8.78717789210973,8.043,12.4201,-11.9018167154762
"NOR1_T004",2020-11-13,"Canyon","Gaoping",301,"GC1","1","9","SW",,163.726458208241,-0.854934901078521,0.142684365920628,-4.92442503021228,7.90157142857143,12.4201,-6.73560783941284
"NOR1_T004",2020-11-12,"Slope","Gaoping",189,"M1","2","4","SW",,159.614326582355,-0.240480999790733,7.61807470174092e-05,-1.39671364678458,8.0445,16.0874833333333,-2.43907581715539
"NOR1_T007",2020-11-30,"Slope","Gaoping",27,"L1","1","10","SW",,173.559624550773,-1.79324058116301,5.12714086974811e-05,-16.7847318396858,25.3696,26.94615,-18.7229074757989
"NOR1_T007",2020-11-30,"Slope","Gaoping",27,"L1","1","11","SW",,182.459237590912,-1.5233787449122,6.64565292986003e-05,-14.0760196029887,25.3204,26.94615,-15.7550510428485
"NOR1_T007",2020-11-30,"Slope","Gaoping",27,"L1","1","2","SW",,182.464183156665,-1.42007735746355,0.00124930811809809,-13.4623333487545,25.3752,26.94615,-15.0110353379668
"NOR1_T011",2021-03-14,"Canyon","Gaoping",299.5,"GC1","1","2","SW",,176.590513922846,-0.00775733086777192,0.975496148521527,-0.0344425490529073,13.4286,13.1788666666667,-0.0338514723778901
"NOR1_T011",2021-03-14,"Canyon","Gaoping",299.5,"GC1","1","5","SW",,134.637994362372,-1.84687894930938,0.0110468023139068,-7.53526611318229,13.91275,13.1788666666667,-7.16154136369937
"NOR1_T011",2021-03-14,"Canyon","Gaoping",313,"GC1","2","1","SW",,149.160784126344,-1.34553347180271,0.00741807539509364,-5.32831254833872,13.889,13.1788666666667,-5.07238895654397
"NOR1_T011",2021-03-14,"Slope","Gaoping",256,"GS1","1","2","SW",,144.027757516927,-0.256824433389318,0.00205520871690445,-2.24978203649042,12.7975714285714,13.30435,-2.33021503413686
"NOR1_T011",2021-03-14,"Slope","Gaoping",256,"GS1","1","3","SW",,145.835580257961,-0.202941197501601,0.000551048614318529,-1.8508237212146,12.8405714285714,13.30435,-1.91128822034068
"NOR1_T011",2021-03-14,"Slope","Gaoping",256,"GS1","1","5","SW",,139.800972400753,-0.225148409293572,0.00442597997548881,-2.05335349275737,12.8598571428571,13.30435,-2.11760176156959
"NOR1_T011",2021-03-14,"Slope","Gaoping",27,"L1","1","10B","SW",,194.284532488666,-1.53303883542805,0.0012592999678122,-12.2888393047913,18.109,24.6635166666667,-19.3562613597121
"NOR1_T011",2021-03-14,"Slope","Gaoping",27,"L1","1","4","SW",,197.338978747312,-1.45323284106392,0.00216915943202498,-11.5096041012262,18.1725,24.6635166666667,-18.0492623375549
"NOR1_T011",2021-03-14,"Slope","Gaoping",27,"L1","1","7","SW",,195.769123206743,-0.972844532339107,9.77361968108274e-05,-7.79832177123028,18.335,24.6635166666667,-12.0922880899716
"OR1_1114",2015-08-04,"Canyon","Gaoping",478,"GC2","1","8","SW",5,274.04450061197,-1.4448930573494,3.20516910604231e-05,-8.18387427682699,8.33076923076923,8.64241666666667,-8.36258358494361
"OR1_1114",2015-08-05,"Canyon","Gaoping",655,"GC3","4","8","SW",3,275.409890027395,-0.680355495623682,0.00186239504158143,-4.89855956849051,8.37619047619048,8.0394,-4.78552941527222
"OR1_1114",2015-08-05,"Canyon","Gaoping",1051,"GC4","1","3","SW",4,275.013602386756,-1.01538720756103,7.45608608810625e-05,-6.45786264008814,8.37058823529412,3.96806666666667,-4.75948210624839
"OR1_1114",2015-08-05,"Slope","Gaoping",279,"GS1","1","4","SW",2,277.951351089365,-2.6151144454991,0.00192666691612991,-16.3183141399144,8.37272727272727,13.7061833333333,-23.617194967635
"OR1_1114",2015-08-05,"Slope","Gaoping",462,"GS2","1","6","SW",6,280.930034708496,-1.03432306573267,0.0529690158227926,-5.56052080137883,8.34545454545455,10.2484166666667,-6.34454289046708
"OR1_1114",2015-08-05,"Slope","Gaoping",690,"GS3","1","3","SW",9,280.343825685244,-0.95675637208972,0.0297882672557634,-5.97015976183985,8.35,6.86353333333333,-5.38565894522803
"OR1_1114",2015-08-05,"Slope","Gaoping",849,"GS4","1","10","SW",7,275.578046485945,-0.348274440336827,0.0120565270691548,-1.54633851509551,8.34615384615385,5.90538333333333,-1.30565988001729
"OR1_1126",2015-11-20,"Canyon","Gaoping",655,"GC3","1","11","SW",4,165.382813755566,-0.683666052016641,0.232449375983606,-5.90687468942378,9.05,7.53288333333333,-5.31726120754038
"OR1_1126",2015-11-20,"Canyon","Gaoping",1065,"GC4","2","9","SW",7,161.267819917833,-0.400854635828769,0.0770620595659986,-3.27097382836275,9.08,3.98461666666667,-2.29768636473854
"OR1_1126",2015-11-19,"Slope","Gaoping",277,"GS1","1","10","SW",1,181.447888699914,-2.89917819426893,0.1074169359814,-16.6992663989891,10.75,13.8851333333333,-20.7526857766821
"OR1_1126",2015-11-19,"Slope","Gaoping",463,"GS2","1","4","SW",2,159.717347663883,-3.28694261858234,0.203429140737253,-14.9884583407355,11,9.04378333333333,-13.0878700945291
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","9","SW",7,288.001666367594,-0.831494513256542,0.0268617261450445,-8.38146469362594,9.5,13.7907166666667,-11.2845270488109
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","7","SW",5,259.226489518317,-0.206482461583388,0.198433631514147,-1.78400846808047,9.46666666666667,13.7907166666667,-2.40748609130673
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","8","SW",6,281.206469780684,-0.611447443933082,0.170323834614698,-4.25567420977425,9.2,13.7907166666667,-5.85009226011374
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","5","SW",3,286.627239281464,-0.653064520092539,0.20643451060785,-6.739625847355,9.46666666666667,13.7907166666667,-9.09499914290017
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","2","SW",1,282.187012333309,-0.997275281629071,0.222996023502215,-8.13776629809322,9.2,13.7907166666667,-11.1866372490988
"OR1_1128",2016-02-16,"Canyon","Gaoping",322,"GC1","1","4","SW",2,289.20010150519,-0.739366626409211,0.107354717625801,-7.45281559420485,9.36666666666667,13.7907166666667,-10.1273903746803
"OR1_1128",2016-02-17,"Canyon","Gaoping",322,"GC1","1","10","SW",8,271.1,-0.0925449871465278,,-0.688534704370167,9.65,13.7907166666667,-0.917431879104344
"OR1_1128",2016-02-17,"Canyon","Gaoping",322,"GC1","1","6","SW",4,274.5,-0.576419213973785,,-4.15021834061125,9.3,13.7907166666667,-5.66571842529705
"OR1_1132",2016-03-09,"Slope","Dongsha",1613,"ST1","1","11","SW",4,311.976802487281,-0.208266560268861,6.69334832560766e-12,-2.29926282536822,4.98461538461538,2.67975,-1.95977068031762
"OR1_1132",2016-03-09,"Slope","Dongsha",1613,"ST1","1","5","SW",5,313.21988448229,-0.200314624254087,2.37019489380157e-08,-2.21147345176512,4.93076923076923,2.67975,-1.89199201516589
